ArtikelId,Artikelnummer,Lieferantenreferenznummer,Artikelbezeichnung,ProduktlinieId,Produktline,ProduktbereichId,Produktbereich,ProduktgruppeId,Produktgruppe,ArtikelgruppeId,Artikelgruppe,MarkeId,Marke,ProduktfamilieId,Produktfamilie,MengeneinheitId,Mengeneinheit,Bestand,KollektionsstatusId,Kollektionsstatus,VerkaufspreisBrutto,ZiffernblattfarbeId,Ziffernblattfarbe,ZiffernblattausfuehrungId,Ziffernblattausfuehrung,ZiffernblattbesatzId,Ziffernblattbesatz,ZiffernblattartId,Ziffernblattart,LuenetteId,Luenette,Ringgroesse,Laenge,Durchmesser,WasserdichteId,Wasserdichte,Limitationsnummer,LimitationVon,WerkartId,Werkart,BandartId,Bandart,BandmaterialId,Bandmaterial,SchliesseId,Schliesse,GlasartId,Glasart,OberflaecheId,Oberflaeche,Selektionskennzeichen,Anlagedatum,Lieferantenbarcode,Notiz,Standardbild,IstReserviert,BoxtypId,Boxtyp,Werknummer,Gehaeusenummer,Hoehe,Breite,Tiefe,KaliberId,Kaliber,BandfarbeId,Bandfarbe,LieferantName1,"LieferantName2",Anzahl,PerlartId,Perlart,PerlgroesseId,Perlgroesse,PerlfarbeId,"Perlfarbe",SteinartId,Steinart,SchliffformId,Schliffform,SteinfarbeId,Steinfarbe,ReinheitId,Reinheit,"CtGewicht",FeingehaltId,Feingehalt,MaterialId,Material,FarbeId,Farbe,"Gesamtgewicht",IdentifikationsfeldId,Identifikationsfeld,IdentifikationswertId,"Identifikationswert","BildName"
838,100834,FP50-50,"Halsschmuck ""Flachpanzer"" in 750/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,106,Collierkettchen,21,MK,,,,,0,,,"680,00",,,,,,,,,,,,"45 cm",,,,,,,,,,,,,,,,6,Poliert,,"04.04.2005 00:00:00",,"Halsschmuck ""Flachpanzer"" in 750/- Gelbgold - Länge 45cm",838-820.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,11,750/ooo,25,Gold,9,Gelb,"6,0000",1,"CWC Artikelnummer",1895,01000996,838-820.jpg
2138,102134,"Perlring massiv","Damenring in 750/- Gelbgold mit Südsee-Perle",6,Schmuck,42,Gold,46,Handschmuck,119,Damenring,21,MK,,,,,0,,,"1795,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"18.11.2009 00:00:00",,"Damenring in 750/- Gelbgold mit Südsee-Perle 9,0 - 9,5mm in weiß.",2138-802.jpg,False,,,,,,,,,,,,"Martina Köster",,,6,Südsee-Perlen,27,"9,0-9,5 mm",12,Weiß,,,,,,,,,,11,750/ooo,25,Gold,9,Gelb,"11,9000",1,"CWC Artikelnummer",2548,01001650,2138-802.jpg
2834,102830,Soli4K015W,"Damenring in 585/- Weißgold mit Diamanten 0,17 ct. W/si",6,Schmuck,37,Diamant,46,Handschmuck,252,Solitärring,21,MK,,,,,0,,,"928,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"18.12.2017 00:00:00",,"Damenring in 585 Weißgold mit Diamanten 0,17 ct. W/si. ",2834-800.jpg,False,,,,,,,,,,,,"Martina Köster",,1,,,,,,,54,Diamant,15,Brillant,23,Wesselton(H),12,"si-kleine Einschlüsse","0,1650",10,585/ooo,25,Gold,10,Weiß,"3,3000",1,"CWC Artikelnummer",3902,01003005,2834-800.jpg
3455,103451,SchiffAnk,"Halsschmuck ""Schiffsankerkette"" in 585/- Bicolor",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,1,,,"1735,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"06.10.2019 00:00:00",,"Halsschmuck ""Schiffsankerkette"" in 585/- Bicolor - Weißgold und Gelbgold",3455-810.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,15,"bicolor g/w","16,3000",1,"CWC Artikelnummer",4246,01003349,3455-810.jpg
3463,103459,Scheibchenkette,"Halsschmuck ""Scheibchenkette"" in 585/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,0,,,"2770,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"21.10.2019 00:00:00",,"Halsschmuck ""Scheibchenkette"" in 585/- Gelbgold - Länge 65cm",3463-814.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,9,Gelb,"45,0000",1,"CWC Artikelnummer",4266,01003369,3463-814.jpg
3495,103491,BandBig,"Damenring ""Bandring"" in 750/- Gelbgold mit Diamant",6,Schmuck,37,Diamant,46,Handschmuck,252,Solitärring,21,MK,,,,,1,,,"5390,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"20.10.2019 00:00:00",,"Damenring ""Bandring"" in 750/- Gelbgold mit 1 Diamanten 0,47 ct. TW/si.",3495-825.jpg,False,,,,,,,,,,,,"Martina Köster",,1,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",12,"si-kleine Einschlüsse","0,4700",11,750/ooo,25,Gold,9,Gelb,"18,2000",1,"CWC Artikelnummer",4265,01003368,3495-825.jpg
3643,103639,BigPerl,"Damenring ""BIG PEARL"" in 585 Weißgold mit Tahiti-Perle und Diamanten",6,Schmuck,37,Diamant,46,Handschmuck,119,Damenring,21,MK,,,,,1,,,"5499,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.11.2019 00:00:00",,"Damenring ""BIG PEARL"" in 585 Weißgold mit Tahiti-Perle und 46 Diamanten 0,25 ct. TW/vsi. ",3643-798.jpg,False,,,,,,,,,,,,"Martina Köster",,46,8,Tahiti-Perlen,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",13,"vsi-sehr kleine Einschlüsse","0,2500",10,585/ooo,25,Gold,10,Weiß,"21,8000",1,"CWC Artikelnummer",4276,01003379,3643-798.jpg
3780,103776,5KraOS033,"Ohrschmuck in 750/- Weißgold mit 2 Brillanten 0,68 ct. TW/vsi von Perfect Match",6,Schmuck,37,Diamant,54,"Kopf- und Ohrschmuck",266,"Stecker klein",21,MK,,,,,0,,,"4499,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"17.12.2019 00:00:00",,"Ohrschmuck in 750/- Weißgold mit 2 Brillanten 0,68 ct. TW/vsi von Perfect Match. Der klassische Ohrschmuck von Perfect Match zieht mit seinem traumhaften Funkeln alle Blicke auf sich.",3780-705.jpg,False,,,,,,,,,,,,"Martina Köster",,2,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",13,"vsi-sehr kleine Einschlüsse","0,6800",11,750/ooo,25,Gold,10,Weiß,"1,7500",1,"CWC Artikelnummer",4295,01003398,3780-705.jpg
3885,103881,WF9RQ0007,"Halsschmuck in 750/- Roségold mit Rauchquarz und Diamanten",6,Schmuck,38,Farbstein,46,Handschmuck,119,Damenring,21,MK,,,,,1,,,"1299,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10.2007 00:00:00",,"Halsschmuck in 750/- Roségold mit Rauchquarz und 40 Diamanten 0,20 ct. TW/si",3885-821.jpg,False,,,,,,,,,,,,"Martina Köster",,1,,,,,,,74,Rauchquarz,,,,,,,"0,0000",11,750/ooo,25,Gold,12,rosé,"6,6000",1,"CWC Artikelnummer",4705,01600090,3885-821.jpg
3891,103887,RI8B02061,"Damenring in 750 Weißgold mit 233 Diamanten",6,Schmuck,42,Gold,46,Handschmuck,119,Damenring,21,MK,,,,,1,,,"4990,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"14.10.2008 00:00:00",,"Damenring in 750 Weißgold mit 233 Diamanten 1,46 ct. vvsi. Eine Eigenanfertigung aus der Goldschmiede von Perfect Match. ",3891-794.jpg,False,,,,,,,,,,,,"Martina Köster",,233,,,,,,,54,Diamant,,,,,14,"vvsi-Sehr,sehr kleine Einschlüsse","1,4600",11,750/ooo,25,Gold,10,Weiß,"14,0000",1,"CWC Artikelnummer",4740,01600125,3891-794.jpg
4157,104153,NW-erstWG,"Damenring in 750/- Weißgold mit Diamanten",6,Schmuck,37,Diamant,46,Handschmuck,119,Damenring,21,MK,,,,,0,,,"1599,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Poliert,,"15.11.2015 00:00:00",,"Damenring in 750/- Weißgold mit 11 Diamanten 0,21ct TW/si -kombinierbarer Ring ",4157-823.jpg,False,,,,,,,,,,,,"Martina Köster",,11,,,,,,,54,Diamant,15,Brillant,21,"Top Wesselton(G)",12,"si-kleine Einschlüsse","0,2050",11,750/ooo,25,Gold,10,Weiß,"5,3000",1,"CWC Artikelnummer",3546,01002649,4157-823.jpg
4755,104751,58/13.22104/45,"Halsschmuck ""Panzer-Phantasie"" in 750/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,1,,,"1820,00",,,,,,,,,,,,45cm,,,,,,,,,,,,,,,,6,Poliert,,"06.09.2000 00:00:00",,"Halsschmuck ""Panzer-Phantasie"" in 750/- Gelbgold ",4755-807.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,11,750/ooo,25,Gold,9,Gelb,"17,0000",1,"CWC Artikelnummer",5801,02600037,4755-807.jpg
4946,104942,242082041,"Halsschmuck ""Zopfkette"" in 585/- Bicolor",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,1,,,"2590,00",,,,,,,,,,,,"45 cm",,,,,,,,,,,,,,,,,,,"11.02.2004 00:00:00",,"Halsschmuck ""Zopfkette"" in 585/- Bicolor - Weißgold und Gelbgold ",4946-808.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,15,"bicolor g/w","24,5000",1,"CWC Artikelnummer",6199,03500124,4946-808.jpg
4947,104943,"37 3377 031/1","Halsschmuck ""Fantasiekette"" in 585/- Bicolor",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,0,,,"3980,00",,,,,,,,,,,,"45 cm",,,,,,,,,,,,,,,,,,,"06.05.2004 00:00:00",,"Halsschmuck ""Fantasiekette"" in 585/- Bicolor - Weißgold und Gelbgold - Länge 45cm. ",4947-811.jpg,False,,,,,,,,,,,,"Manfred Grimm oHG",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,15,"bicolor g/w","40,2000",1,"CWC Artikelnummer",6206,03500131,4947-811.jpg
4965,104961,96010400042,"Halsschmuck ""Ankerkette"" in 585/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,106,Collierkettchen,21,MK,,,,,0,,,"347,00",,,,,,,,,,,,"42 cm",,,,,,,,,,,,,,,,6,Poliert,,"03.11.2004 00:00:00",,"Halsschmuck ""Ankerkette"" in 585/- Gelbgold - Länge 42cm. ",4965-816.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,9,Gelb,"3,2000",1,"CWC Artikelnummer",6244,03500169,4965-816.jpg
5130,105126,960215001,"Halsschmuck ""Panzerkette"" in 585/- Gelbgold",6,Schmuck,42,Gold,45,Halsschmuck,181,Kette,21,MK,,,,,0,,,"2765,56",,,,,,,,,,,,"50 cm",,,,,,,,,,,,,,,,6,Poliert,,"10.10.2005 00:00:00",,"Halsschmuck ""Panzerkette"" in 585/- Gelbgold - Länge 50cm. ",5130-809.jpg,False,,,,,,,,,,,,"Martina Köster",,,,,,,,,,,,,,,,,,10,585/ooo,25,Gold,9,Gelb,"46,6000",1,"CWC Artikelnummer",6321,03500246,5130-809.jpg
